bloque,concepto,readme,propio,diferencia,tolerancia,tipo,dentro,identica,nota
1. A1 (Report 1a),Mid-Year 2026: 1a,78.69,78.69,0.0,0.005,numerica,True,True,
1. A1 (Report 1a),Mid-Year 2026: 3a,76.63,76.63,0.0,0.005,numerica,True,True,
1. A1 (Report 1a),Mid-Year 2026: 5a,89.32,89.32,0.0,0.005,numerica,True,True,
1. A1 (Report 1a),Mid-Year 2026: 10a,83.33,83.33,0.0,0.005,numerica,True,True,
1. A1 (Report 1a),Mid-Year 2026: 15a,90.49,90.49,0.0,0.005,numerica,True,True,
1. A1 (Report 1a),Mid-Year 2026: 20a,92.61,92.61,0.0,0.005,numerica,True,True,
1. A1 (publicación),Year-End 2023: publicación (mar-2024) vs creación del PDF 2024-03-05,mar-2024,verificada,,,categorica,True,True,
1. A1 (publicación),Focus Mid-Year 2024: publicación (oct-nov 2024) vs creación del PDF 2024-10-29,oct-nov 2024,verificada,,,categorica,True,True,
1. A1 (publicación),Year-End 2024: publicación (~mar-2025) vs creación del PDF 2025-10-15,~mar-2025,no contradicha,,,categorica,True,False,metadatos regenerados por S&P; la fecha del README viene de una fuente no congelada
1. A1 (publicación),Mid-Year 2025: publicación (~sep-2025) vs creación del PDF 2025-10-15,~sep-2025,no contradicha,,,categorica,True,False,metadatos regenerados por S&P; la fecha del README viene de una fuente no congelada
1. A1 (publicación),Year-End 2025: publicación (mar-2026) vs creación del PDF 2026-07-28,mar-2026,no contradicha,,,categorica,True,False,metadatos regenerados por S&P; la fecha del README viene de una fuente no congelada
1. A1 (publicación),Mid-Year 2026: publicación (~16-17 sep 2026) vs creación del PDF 2026-09-16,~16-17 sep 2026,verificada,,,categorica,True,True,
1. A1 (veredicto),rango 10 años (%),83,83.33,0.3299999999999983,0.5,numerica,True,True,
1. A1 (veredicto),rango 10 años (%),87,87.42,0.4200000000000017,0.5,numerica,True,True,
1. A1 (veredicto),rango 15 y 20 años (%),88,87.98,-0.01999999999999602,0.5,numerica,True,True,
1. A1 (veredicto),rango 15 y 20 años (%),93,93.03,0.030000000000001137,0.5,numerica,True,True,
2. A2 (Tabla 1a),Year-End 2023: corte,31-dic-2023,31-dic-2023,,0,categorica,True,True,
2. A2 (publicación),Year-End 2023: publicación (abr-2024) vs creación del PDF 2024-04-26,abr-2024,verificada,,,categorica,True,True,
2. A2 (Tabla 1a),Year-End 2023: 1a,90.70,90.7,0.0,0.005,numerica,True,True,
2. A2 (Tabla 1a),Year-End 2023: 3a,79.07,79.07,0.0,0.005,numerica,True,True,
2. A2 (Tabla 1a),Year-End 2023: 5a,77.78,77.78,0.0,0.005,numerica,True,True,
2. A2 (Tabla 1a),Year-End 2023: 10a,87.80,87.8,0.0,0.005,numerica,True,True,
2. A2 (supervivencia),Year-End 2023: supervivencia 10 años %,78.05,78.05,0.0,0.005,numerica,True,True,
2. A2 (supervivencia),Year-End 2023: fondos iniciales,41,41.0,0.0,0,numerica,True,True,
2. A2 (Tabla 1a),Year-End 2024: corte,31-dic-2024,31-dic-2024,,0,categorica,True,True,
2. A2 (publicación),Year-End 2024: publicación (abr-2025) vs creación del PDF 2025-04-08,abr-2025,verificada,,,categorica,True,True,
2. A2 (Tabla 1a),Year-End 2024: 1a,18.60,18.6,0.0,0.005,numerica,True,True,
2. A2 (Tabla 1a),Year-End 2024: 3a,46.51,46.51,0.0,0.005,numerica,True,True,
2. A2 (Tabla 1a),Year-End 2024: 5a,62.79,62.79,0.0,0.005,numerica,True,True,
2. A2 (Tabla 1a),Year-End 2024: 10a,82.93,82.93,0.0,0.005,numerica,True,True,
2. A2 (supervivencia),Year-End 2024: supervivencia 10 años %,78.05,78.05,0.0,0.005,numerica,True,True,
2. A2 (supervivencia),Year-End 2024: fondos iniciales,41,41.0,0.0,0,numerica,True,True,
2. A2 (Tabla 1a),Primer semestre 2025: corte,30-jun-2025,30-jun-2025,,0,categorica,True,True,
2. A2 (publicación),Primer semestre 2025: publicación (oct-2025) vs creación del PDF 2025-10-20,oct-2025,verificada,,,categorica,True,True,
2. A2 (Tabla 1a),Primer semestre 2025: ytd,63.64,63.64,0.0,0.005,numerica,True,True,
2. A2 (Tabla 1a),Primer semestre 2025: 1a,50.00,50.0,0.0,0.005,numerica,True,True,
2. A2 (Tabla 1a),Primer semestre 2025: 3a,60.47,60.47,0.0,0.005,numerica,True,True,
2. A2 (Tabla 1a),Primer semestre 2025: 5a,69.05,69.05,0.0,0.005,numerica,True,True,
2. A2 (Tabla 1a),Primer semestre 2025: 10a,73.17,73.17,0.0,0.005,numerica,True,True,
2. A2 (supervivencia),Primer semestre 2025: supervivencia 10 años %,82.93,82.93,0.0,0.005,numerica,True,True,
2. A2 (supervivencia),Primer semestre 2025: fondos iniciales,41,41.0,0.0,0,numerica,True,True,
2. A2 (contexto),"EUA (MXN) 10 años, YE2024 y mitad 2025",86.67,86.67,0.0,0.005,numerica,True,True,
2. A2 (contexto),EUA (MXN) 10 años mitad 2025 = YE2024,86.67,86.67,0.0,0.005,numerica,True,True,
2. A2 (contexto),"Global (MXN) 10 años, ambas",100,100.0,0.0,0.005,numerica,True,True,
2. A2 (contexto),Global (MXN) 10 años mitad 2025,100,100.0,0.0,0.005,numerica,True,True,
2. Reports 3 y 4,S&P/BMV IRT: 1a EW,-10.70,-10.7,0.0,0.005,numerica,True,True,
2. Reports 3 y 4,S&P/BMV IRT: 1a AW = EW (índice),-10.70,-10.7,0.0,0.005,numerica,True,True,
2. Reports 3 y 4,S&P/BMV IRT: 3a EW,1.07,1.07,0.0,0.005,numerica,True,True,
2. Reports 3 y 4,S&P/BMV IRT: 3a AW = EW (índice),1.07,1.07,0.0,0.005,numerica,True,True,
2. Reports 3 y 4,S&P/BMV IRT: 5a EW,5.83,5.83,0.0,0.005,numerica,True,True,
2. Reports 3 y 4,S&P/BMV IRT: 5a AW = EW (índice),5.83,5.83,0.0,0.005,numerica,True,True,
2. Reports 3 y 4,S&P/BMV IRT: 10a EW,4.14,4.14,0.0,0.005,numerica,True,True,
2. Reports 3 y 4,S&P/BMV IRT: 10a AW = EW (índice),4.14,4.14,0.0,0.005,numerica,True,True,
2. Reports 3 y 4,Mexico Equity Funds: 1a EW,-6.73,-6.73,0.0,0.005,numerica,True,True,
2. Reports 3 y 4,Mexico Equity Funds: 1a AW,-2.41,-2.41,0.0,0.005,numerica,True,True,
2. Reports 3 y 4,Mexico Equity Funds: 3a EW,2.25,2.25,0.0,0.005,numerica,True,True,
2. Reports 3 y 4,Mexico Equity Funds: 3a AW,3.90,3.9,0.0,0.005,numerica,True,True,
2. Reports 3 y 4,Mexico Equity Funds: 5a EW,3.98,3.98,0.0,0.005,numerica,True,True,
2. Reports 3 y 4,Mexico Equity Funds: 5a AW,4.03,4.03,0.0,0.005,numerica,True,True,
2. Reports 3 y 4,Mexico Equity Funds: 10a EW,2.56,2.56,0.0,0.005,numerica,True,True,
2. Reports 3 y 4,Mexico Equity Funds: 10a AW,2.53,2.53,0.0,0.005,numerica,True,True,
2. Reports 3 y 4,S&P 500 (MXN): 1a EW,53.51,53.51,0.0,0.005,numerica,True,True,
2. Reports 3 y 4,S&P 500 (MXN): 1a AW = EW (índice),53.51,53.51,0.0,0.005,numerica,True,True,
2. Reports 3 y 4,S&P 500 (MXN): 3a EW,9.60,9.6,0.0,0.005,numerica,True,True,
2. Reports 3 y 4,S&P 500 (MXN): 3a AW = EW (índice),9.60,9.6,0.0,0.005,numerica,True,True,
2. Reports 3 y 4,S&P 500 (MXN): 5a EW,16.79,16.79,0.0,0.005,numerica,True,True,
2. Reports 3 y 4,S&P 500 (MXN): 5a AW = EW (índice),16.79,16.79,0.0,0.005,numerica,True,True,
2. Reports 3 y 4,S&P 500 (MXN): 10a EW,17.08,17.08,0.0,0.005,numerica,True,True,
2. Reports 3 y 4,S&P 500 (MXN): 10a AW = EW (índice),17.08,17.08,0.0,0.005,numerica,True,True,
2. Reports 3 y 4,U.S. Equity (MXN) Funds: 1a EW,44.14,44.14,0.0,0.005,numerica,True,True,
2. Reports 3 y 4,U.S. Equity (MXN) Funds: 1a AW,50.86,50.86,0.0,0.005,numerica,True,True,
2. Reports 3 y 4,U.S. Equity (MXN) Funds: 3a EW,5.08,5.08,0.0,0.005,numerica,True,True,
2. Reports 3 y 4,U.S. Equity (MXN) Funds: 3a AW,7.61,7.61,0.0,0.005,numerica,True,True,
2. Reports 3 y 4,U.S. Equity (MXN) Funds: 5a EW,12.29,12.29,0.0,0.005,numerica,True,True,
2. Reports 3 y 4,U.S. Equity (MXN) Funds: 5a AW,15.28,15.28,0.0,0.005,numerica,True,True,
2. Reports 3 y 4,U.S. Equity (MXN) Funds: 10a EW,12.65,12.65,0.0,0.005,numerica,True,True,
2. Reports 3 y 4,U.S. Equity (MXN) Funds: 10a AW,14.51,14.51,0.0,0.005,numerica,True,True,
2. Reports 3 y 4,S&P World Index (MXN): 1a EW,46.67,46.67,0.0,0.005,numerica,True,True,
2. Reports 3 y 4,S&P World Index (MXN): 1a AW = EW (índice),46.67,46.67,0.0,0.005,numerica,True,True,
2. Reports 3 y 4,S&P World Index (MXN): 3a EW,7.38,7.38,0.0,0.005,numerica,True,True,
2. Reports 3 y 4,S&P World Index (MXN): 3a AW = EW (índice),7.38,7.38,0.0,0.005,numerica,True,True,
2. Reports 3 y 4,S&P World Index (MXN): 5a EW,13.79,13.79,0.0,0.005,numerica,True,True,
2. Reports 3 y 4,S&P World Index (MXN): 5a AW = EW (índice),13.79,13.79,0.0,0.005,numerica,True,True,
2. Reports 3 y 4,S&P World Index (MXN): 10a EW,14.33,14.33,0.0,0.005,numerica,True,True,
2. Reports 3 y 4,S&P World Index (MXN): 10a AW = EW (índice),14.33,14.33,0.0,0.005,numerica,True,True,
2. Reports 3 y 4,Global Equity (MXN) Funds: 1a EW,29.89,29.89,0.0,0.005,numerica,True,True,
2. Reports 3 y 4,Global Equity (MXN) Funds: 1a AW,33.53,33.53,0.0,0.005,numerica,True,True,
2. Reports 3 y 4,Global Equity (MXN) Funds: 3a EW,2.41,2.41,0.0,0.005,numerica,True,True,
2. Reports 3 y 4,Global Equity (MXN) Funds: 3a AW,3.57,3.57,0.0,0.005,numerica,True,True,
2. Reports 3 y 4,Global Equity (MXN) Funds: 5a EW,6.55,6.55,0.0,0.005,numerica,True,True,
2. Reports 3 y 4,Global Equity (MXN) Funds: 5a AW,9.06,9.06,0.0,0.005,numerica,True,True,
2. Reports 3 y 4,Global Equity (MXN) Funds: 10a EW,7.09,7.09,0.0,0.005,numerica,True,True,
2. Reports 3 y 4,Global Equity (MXN) Funds: 10a AW,9.26,9.26,0.0,0.005,numerica,True,True,
3. A3,fuera del índice: texto,74.3,74.3,0.0,0.005,numerica,True,True,
3. A3,fuera del índice: gráfica,74.3,74.3,0.0,0.005,numerica,True,True,
3. A3,offshore: gráfica,16.8,16.8,0.0,0.005,numerica,True,True,
3. A3,ETFs extranjeros: texto,16.4,16.4,0.0,0.005,numerica,True,True,
3. A3,ETFs extranjeros: gráfica,16.2,16.2,0.0,0.005,numerica,True,True,
3. A3,texto vs gráfica (pp),0.2,0.1999999999999993,-7.216449660063518e-16,0.005,numerica,True,True,
3. A3,páginas del texto y del Exhibit 8,7,7.0,0.0,0,numerica,True,True,
3. A3,páginas del texto y del Exhibit 8,8,8.0,0.0,0,numerica,True,True,
4. B pre-registrado,CAGR 0% S&P,3.53,3.525330349497313,-0.00466965050268664,0.1,numerica,True,True,
4. B pre-registrado,CAGR 10% S&P,4.98,4.975731776391501,-0.004268223608499433,0.1,numerica,True,True,
4. B pre-registrado,ventaja 10% S&P (pp),+1.45,1.4504014268941878,0.0004014268941878729,0.1,numerica,True,True,
4. B pre-registrado,CAGR 20% S&P,6.40,6.404762958511712,0.004762958511711268,0.1,numerica,True,True,
4. B pre-registrado,ventaja 20% S&P (pp),+2.88,2.8794326090143985,-0.0005673909856014347,0.1,numerica,True,True,
4. B pre-registrado,CAGR 30% S&P,7.81,7.8116991118188706,0.0016991118188709464,0.1,numerica,True,True,
4. B pre-registrado,ventaja 30% S&P (pp),+4.29,4.286368762321557,-0.0036312376784426448,0.1,numerica,True,True,
4. B pre-registrado,CAGR 50% S&P,10.56,10.556378497853135,-0.0036215021468652964,0.1,numerica,True,True,
4. B pre-registrado,ventaja 50% S&P (pp),+7.03,7.031048148355823,0.0010481483558226756,0.1,numerica,True,True,
4. B pre-registrado,CAGR 100% S&P,16.98,16.980487394231105,0.0004873942311043322,0.1,numerica,True,True,
4. B pre-registrado,ventaja 100% S&P (pp),+13.45,13.45515704473379,0.005157044733790528,0.1,numerica,True,False,
4. B pre-registrado,peso para 1/2/3 pp,6.9,6.894642968887218,-0.005357031112782629,0.1,numerica,True,True,
4. B pre-registrado,peso para 1/2/3 pp,13.8,13.845952278594714,0.04595227859471329,0.1,numerica,True,True,
4. B pre-registrado,peso para 1/2/3 pp,20.9,20.856949981007983,-0.04305001899201599,0.1,numerica,True,True,
4. B prueba,media dif. %/mes,1.018,1.0178715494289692,-0.0001284505710308359,0.01,numerica,True,True,
4. B prueba,t NW(6),1.99,1.9878985496258708,-0.0021014503741292323,0.05,numerica,True,True,
4. B prueba,IC95 (%/mes),0.014,0.014303445742679284,0.0003034457426792838,0.01,numerica,True,True,
4. B prueba,IC95 (%/mes),2.021,2.0214396531152587,0.0004396531152588423,0.01,numerica,True,True,
4. B prueba,veredicto,apoyo,apoyo,,0,categorica,True,True,
4. B exploratorio,expl_2024: IPC CAGR,-10.27,-10.269946241237582,5.375876241764388e-05,0.1,numerica,True,True,
4. B exploratorio,expl_2024: S&P MXN CAGR,54.12,54.11983766414126,-0.00016233585873948186,0.1,numerica,True,True,
4. B exploratorio,expl_2024: ventaja 10%,+5.22,5.221430683384886,0.0014306833848864997,0.1,numerica,True,True,
4. B exploratorio,expl_2024: ventaja 16.4%,+8.69,8.691404301566575,0.0014043015665752279,0.1,numerica,True,True,
4. B exploratorio,expl_2024: ventaja 20%,+10.69,10.688324398662186,-0.001675601337813859,0.1,numerica,True,True,
4. B exploratorio,expl_2024: peso para 2 pp,3.8,3.8303678077431913,0.030367807743191477,0.1,numerica,True,True,
4. B exploratorio,expl_2024: t NW(6),5.48,5.480080681728799,8.068172879838187e-05,0.05,numerica,True,True,
4. B exploratorio,expl_2024: veredicto,apoyo,apoyo,,0,categorica,True,True,
4. B exploratorio,expl_2016_2025: IPC CAGR,6.50,6.499786058448742,-0.00021394155125786796,0.1,numerica,True,True,
4. B exploratorio,expl_2016_2025: S&P MXN CAGR,15.25,15.24520272777794,-0.004797272222059945,0.1,numerica,True,True,
4. B exploratorio,expl_2016_2025: ventaja 10%,+1.04,1.0361107446174245,-0.0038892553825755627,0.1,numerica,True,True,
4. B exploratorio,expl_2016_2025: ventaja 20%,+2.04,2.0376026744195697,-0.002397325580430376,0.1,numerica,True,True,
4. B exploratorio,expl_2016_2025: peso para 2 pp,19.6,19.624533425576395,0.024533425576393597,0.1,numerica,True,True,
4. B exploratorio,expl_2016_2025: t NW(6),1.20,1.2020560869310628,0.0020560869310628505,0.05,numerica,True,True,
4. B exploratorio,expl_2016_2025: veredicto,inconcluso,inconcluso,,0,categorica,True,True,
4. B lectura,ventaja fondo promedio 2024 EW/AW (pp),4.0,3.969999999999999,-0.030000000000001137,0.1,numerica,True,True,
4. B lectura,ventaja fondo promedio 2024 EW/AW (pp),8.3,8.29,-0.010000000000001563,0.1,numerica,True,True,
4. B lectura,t 2016-2025,1.20,1.2020560869310628,0.0020560869310628505,0.05,numerica,True,True,
4. B lectura,'una séptima parte' (100/7 %) vs peso para 2 pp,14.29,13.845952278594714,-0.44404772140528515,0.5,numerica,True,False,
Controles,archivos con huella (sin el pre-registro),57,57.0,0.0,0,numerica,True,True,
Controles,re-extracción pypdf de los 9 PDF de SPIVA idéntica al .txt,idénticos,idénticos,,0,categorica,True,True,
Controles,CAGR IPC/S&P 2015-2024 y 80/20,3.53,3.525330349497313,-0.00466965050268664,0.1,numerica,True,True,
Controles,CAGR IPC/S&P 2015-2024 y 80/20,16.98,16.980487394231105,0.0004873942311043322,0.1,numerica,True,True,
Controles,CAGR IPC/S&P 2015-2024 y 80/20,6.40,6.404762958511712,0.004762958511711268,0.1,numerica,True,True,
Controles,CAGR IPC/S&P 2015-2024 y 80/20,-10.27,-10.269946241237582,5.375876241764388e-05,0.1,numerica,True,True,
Controles,CAGR IPC/S&P 2015-2024 y 80/20,54.12,54.11983766414126,-0.00016233585873948186,0.1,numerica,True,True,
Controles,CAGR IPC/S&P 2015-2024 y 80/20,6.50,6.499786058448742,-0.00021394155125786796,0.1,numerica,True,True,
Controles,CAGR IPC/S&P 2015-2024 y 80/20,15.25,15.24520272777794,-0.004797272222059945,0.1,numerica,True,True,
Controles,NAFTRAC vs IRT de SPIVA,3.53,3.525330349497313,-0.00466965050268664,0.1,numerica,True,True,
Controles,NAFTRAC vs IRT de SPIVA,4.14,4.14,0.0,0.1,numerica,True,True,
Controles,NAFTRAC vs IRT de SPIVA,-0.61,-0.6146696505026865,-0.004669650502686529,0.1,numerica,True,True,
Controles,SPY×DEXMXUS vs S&P 500 (MXN) de SPIVA,16.98,16.980487394231105,0.0004873942311043322,0.1,numerica,True,True,
Controles,SPY×DEXMXUS vs S&P 500 (MXN) de SPIVA,17.08,17.08,0.0,0.1,numerica,True,True,
Controles,SPY×DEXMXUS vs S&P 500 (MXN) de SPIVA,-0.10,-0.09951260576889354,0.0004873942311064694,0.1,numerica,True,True,
Controles,"sobrestimación de la ventaja (pp), 20% a 50%",0.1,0.11082167406630816,0.010821674066308157,0.1,numerica,True,True,
Controles,"sobrestimación de la ventaja (pp), 20% a 50%",0.3,0.2888381930052475,-0.011161806994752499,0.1,numerica,True,True,
6. Liquidez SIC,CSPXN.MX: precio,14725.50,14725.5,0.0,0.005,numerica,True,True,
6. Liquidez SIC,CSPXN.MX: sesiones con volumen,249,249.0,0.0,0,numerica,True,True,
6. Liquidez SIC,CSPXN.MX: sesiones,252,252.0,0.0,0,numerica,True,True,
6. Liquidez SIC,CSPXN.MX: mediana valor diario MXN,47066414,47066414.212890625,0.212890625,0.5,numerica,True,True,
6. Liquidez SIC,VUAAN.MX: precio,2630.00,2630.0,0.0,0.005,numerica,True,True,
6. Liquidez SIC,VUAAN.MX: sesiones con volumen,251,251.0,0.0,0,numerica,True,True,
6. Liquidez SIC,VUAAN.MX: sesiones,252,252.0,0.0,0,numerica,True,True,
6. Liquidez SIC,VUAAN.MX: mediana valor diario MXN,5269476,5269475.5,-0.5,0.5,numerica,True,True,
6. Liquidez SIC,IUSAN.MX: precio,1304.43,1304.43,0.0,0.005,numerica,True,True,
6. Liquidez SIC,IUSAN.MX: sesiones con volumen,14,14.0,0.0,0,numerica,True,True,
6. Liquidez SIC,IUSAN.MX: sesiones,213,213.0,0.0,0,numerica,True,True,
6. Liquidez SIC,IUSAN.MX: mediana valor diario MXN,0,0.0,0.0,0.5,numerica,True,True,
6. Liquidez SIC,IWDAN.MX: precio,2603.90,2603.9,0.0,0.005,numerica,True,True,
6. Liquidez SIC,IWDAN.MX: sesiones con volumen,155,155.0,0.0,0,numerica,True,True,
6. Liquidez SIC,IWDAN.MX: sesiones,249,249.0,0.0,0,numerica,True,True,
6. Liquidez SIC,IWDAN.MX: mediana valor diario MXN,40049,40049.281494140625,0.281494140625,0.5,numerica,True,True,
6. Liquidez SIC,VWRAN.MX: precio,3413.86,3413.86,0.0,0.005,numerica,True,True,
6. Liquidez SIC,VWRAN.MX: sesiones con volumen,239,239.0,0.0,0,numerica,True,True,
6. Liquidez SIC,VWRAN.MX: sesiones,252,252.0,0.0,0,numerica,True,True,
6. Liquidez SIC,VWRAN.MX: mediana valor diario MXN,641284,641283.6145019531,-0.385498046875,0.5,numerica,True,True,
6. Liquidez SIC,ISACN.MX: precio,2192.08,2192.08,0.0,0.005,numerica,True,True,
6. Liquidez SIC,ISACN.MX: sesiones con volumen,199,199.0,0.0,0,numerica,True,True,
6. Liquidez SIC,ISACN.MX: sesiones,252,252.0,0.0,0,numerica,True,True,
6. Liquidez SIC,ISACN.MX: mediana valor diario MXN,670349,670349.3452148438,0.34521484375,0.5,numerica,True,True,
6. Liquidez SIC,EIMIN.MX: precio,979.00,979.0,0.0,0.005,numerica,True,True,
6. Liquidez SIC,EIMIN.MX: sesiones con volumen,195,195.0,0.0,0,numerica,True,True,
6. Liquidez SIC,EIMIN.MX: sesiones,250,250.0,0.0,0,numerica,True,True,
6. Liquidez SIC,EIMIN.MX: mediana valor diario MXN,754376,754376.1727905273,0.17279052734375,0.5,numerica,True,True,
6. Liquidez SIC,CNDXN.MX: precio,31040.00,31040.0,0.0,0.005,numerica,True,True,
6. Liquidez SIC,CNDXN.MX: sesiones con volumen,209,209.0,0.0,0,numerica,True,True,
6. Liquidez SIC,CNDXN.MX: sesiones,252,252.0,0.0,0,numerica,True,True,
6. Liquidez SIC,CNDXN.MX: mediana valor diario MXN,4812577,4812576.8046875,-0.1953125,0.5,numerica,True,True,
6. Liquidez SIC,IVV.MX: precio,13673.23,13673.23,0.0,0.005,numerica,True,True,
6. Liquidez SIC,IVV.MX: sesiones con volumen,250,250.0,0.0,0,numerica,True,True,
6. Liquidez SIC,IVV.MX: sesiones,252,252.0,0.0,0,numerica,True,True,
6. Liquidez SIC,IVV.MX: mediana valor diario MXN,73814940,73814940.48828125,0.48828125,0.5,numerica,True,True,
6. Liquidez SIC,VOO.MX: precio,12552.41,12552.41,0.0,0.005,numerica,True,True,
6. Liquidez SIC,VOO.MX: sesiones con volumen,250,250.0,0.0,0,numerica,True,True,
6. Liquidez SIC,VOO.MX: sesiones,252,252.0,0.0,0,numerica,True,True,
6. Liquidez SIC,VOO.MX: mediana valor diario MXN,35557601,35557601.40234375,0.40234375,0.5,numerica,True,True,
6. Liquidez SIC,SPY.MX: precio,13617.49,13617.49,0.0,0.005,numerica,True,True,
6. Liquidez SIC,SPY.MX: sesiones con volumen,250,250.0,0.0,0,numerica,True,True,
6. Liquidez SIC,SPY.MX: sesiones,252,252.0,0.0,0,numerica,True,True,
6. Liquidez SIC,SPY.MX: mediana valor diario MXN,19440541,19440540.755859375,-0.244140625,0.5,numerica,True,True,
6. Liquidez SIC,"CSPX y VUAA como % de 20,000 MXN",74,73.6275,-0.3725000000000023,0.5,numerica,True,True,
6. Liquidez SIC,"CSPX y VUAA como % de 20,000 MXN",13,13.15,0.15000000000000036,0.5,numerica,True,True,
7. Estate tax,tipo de cambio,17.2454,17.2454,0.0,5e-05,numerica,True,True,
7. Estate tax,fecha del TC,2026-09-18,2026-09-18,,0,categorica,True,True,
7. Estate tax,1160 USD: USD,1160,1159.7295510686909,-0.27044893130914716,0.5,numerica,True,True,
7. Estate tax,1160 USD: MXN,20000,20000.0,0.0,0.5,numerica,True,True,
7. Estate tax,1160 USD: impuesto,0,0.0,0.0,0,numerica,True,True,
7. Estate tax,1160 USD: tasa efectiva,0,0.0,0.0,0.05,numerica,True,True,
7. Estate tax,60000 USD: USD,60000,60000,0.0,0.5,numerica,True,True,
7. Estate tax,60000 USD: MXN,1034724,1034724.0,0.0,0.5,numerica,True,True,
7. Estate tax,60000 USD: impuesto,0,0.0,0.0,0,numerica,True,True,
7. Estate tax,60000 USD: tasa efectiva,0,0.0,0.0,0.05,numerica,True,True,
7. Estate tax,100000 USD: USD,100000,100000,0.0,0.5,numerica,True,True,
7. Estate tax,100000 USD: MXN,1724540,1724540.0,0.0,0.5,numerica,True,True,
7. Estate tax,100000 USD: impuesto,10800,10800.0,0.0,0,numerica,True,True,
7. Estate tax,100000 USD: tasa efectiva,10.8,10.8,0.0,0.05,numerica,True,True,
7. Estate tax,250000 USD: USD,250000,250000,0.0,0.5,numerica,True,True,
