serie,ventana,desde,hasta,moneda,primaria,es_prueba,n,media_pct_mes,t_nw6,veredicto,nota
CMA,pre,196307,201504,USD,0,1,622,0.305997,3.3444,apoyo,Fama-French 2015
CMA,2000-2025,200001,202512,USD,0,1,312,0.211218,1.4135,inconcluso,
CMA,2000-ult,200001,202607,USD,0,1,319,0.229436,1.5683,inconcluso,
CMA,post,201505,202607,USD,0,1,135,-0.027259,-0.125,inconcluso,Fama-French 2015
OP-LO-VW,pre-variante,196307,201304,USD,0,1,598,0.09495,1.7704,inconcluso,"Novy-Marx 2013, JFE 108(1), abr-2013 (rentabilidad bruta)"
OP-LO-VW,post-variante,201305,202607,USD,0,1,159,0.063711,0.6905,inconcluso,"Novy-Marx 2013, JFE 108(1), abr-2013 (rentabilidad bruta)"
OP-LS-VW,pre-variante,196307,201304,USD,0,1,598,0.221589,1.5443,inconcluso,"Novy-Marx 2013, JFE 108(1), abr-2013 (rentabilidad bruta)"
OP-LS-VW,post-variante,201305,202607,USD,0,1,159,0.211195,0.7154,inconcluso,"Novy-Marx 2013, JFE 108(1), abr-2013 (rentabilidad bruta)"
INV-LO-VW,pre-variante,196307,201504,USD,0,1,622,0.258103,3.321,apoyo,"Fama-French 2015, JFE 116(1), abr-2015"
INV-LO-VW,post-variante,201505,202607,USD,0,1,135,-0.074,-0.3887,inconcluso,"Fama-French 2015, JFE 116(1), abr-2015"
INV-LS-VW,pre-variante,196307,201504,USD,0,1,622,0.316752,2.4217,apoyo,"Fama-French 2015, JFE 116(1), abr-2015"
INV-LS-VW,post-variante,201505,202607,USD,0,1,135,-0.214815,-0.6333,inconcluso,"Fama-French 2015, JFE 116(1), abr-2015"
OP-LO-VW,mxn-completo,199401,202607,MXN,0,1,391,0.087027,1.283,inconcluso,
OP-LO-VW,2000-2025,200001,202512,MXN,0,1,312,0.096704,1.2991,inconcluso,
OP-LO-VW,post,201505,202607,MXN,0,1,135,0.069388,0.6344,inconcluso,"Fama-French 2015, JFE 116(1), abr-2015"
NI-LO-VW,mxn-completo,199401,202607,MXN,0,1,391,0.124857,1.6792,inconcluso,
NI-LO-VW,2000-2025,200001,202512,MXN,0,1,312,0.113995,1.4063,inconcluso,
NI-LO-VW,post,200805,202607,MXN,0,1,219,0.045355,0.8088,inconcluso,"Pontiff-Woodgate 2008, JF 63(2), abr-2008"
VAR-LO-VW,mxn-completo,199401,202607,MXN,0,1,391,0.006551,0.054,inconcluso,
VAR-LO-VW,2000-2025,200001,202512,MXN,0,1,312,0.090437,0.6651,inconcluso,
VAR-LO-VW,post,200603,202607,MXN,0,1,245,0.033659,0.2484,inconcluso,"Ang-Hodrick-Xing-Zhang 2006, JF 61(1), feb-2006"
INV-LO-VW,mxn-completo,199401,202607,MXN,0,1,391,0.130967,1.2712,inconcluso,
INV-LO-VW,2000-2025,200001,202512,MXN,0,1,312,0.174412,1.417,inconcluso,
INV-LO-VW,post,200809,202607,MXN,0,1,215,0.044789,0.3091,inconcluso,"Cooper-Gulen-Schill 2008, JF 63(4), ago-2008"
RESVAR-LO-VW,mxn-completo,199401,202607,MXN,0,1,391,0.055674,0.6529,inconcluso,
RESVAR-LO-VW,2000-2025,200001,202512,MXN,0,1,312,0.078992,0.8028,inconcluso,
RESVAR-LO-VW,post,200603,202607,MXN,0,1,245,0.027717,0.2794,inconcluso,"Ang-Hodrick-Xing-Zhang 2006, JF 61(1), feb-2006"
VAR-LO10-VW,2000-2025,200001,202512,USD,0,0,312,0.032788,0.1832,inconcluso,exploratorio post-hoc (origen de la cifra 3.6%)
VAR-LO10-VW,2000-ult,200001,202607,USD,0,0,319,-0.005925,-0.0328,inconcluso,exploratorio post-hoc (origen de la cifra 3.6%)
VAR-LS10-VW,2000-2025,200001,202512,USD,0,0,312,0.501923,0.8908,inconcluso,exploratorio post-hoc (origen de la cifra 3.6%)
VAR-LS10-VW,2000-ult,200001,202607,USD,0,0,319,0.294389,0.501,inconcluso,exploratorio post-hoc (origen de la cifra 3.6%)
RESVAR-LO10-VW,2000-2025,200001,202512,USD,0,0,312,0.14891,1.0653,inconcluso,exploratorio post-hoc (origen de la cifra 3.6%)
RESVAR-LO10-VW,2000-ult,200001,202607,USD,0,0,319,0.113041,0.7912,inconcluso,exploratorio post-hoc (origen de la cifra 3.6%)
RESVAR-LS10-VW,2000-2025,200001,202512,USD,0,0,312,0.521955,0.9792,inconcluso,exploratorio post-hoc (origen de la cifra 3.6%)
RESVAR-LS10-VW,2000-ult,200001,202607,USD,0,0,319,0.387335,0.7162,inconcluso,exploratorio post-hoc (origen de la cifra 3.6%)
