ticker,nombre,mercado,sector,peso_o_capitalizacion,fuente,fecha
CVX,Chevron Corporation,US,Energía,cap_usd_mm=403404,Ranking: companiesmarketcap.com EUA #25 (CSV descargado 2026-09-25); cap. y sector: Yahoo Finance quote API; acciones SEC portada 10-Q/10-K CIK 93410 al 2026-06-30: dif +0.7% vs Yahoo,2026-09-24
SPCX,Space Exploration Technologies Corp.,US,Industrial,cap_usd_mm=1951299,Ranking: companiesmarketcap.com EUA #7 (CSV descargado 2026-09-25); cap. y sector: Yahoo Finance quote API; CIK 1181412; cruce con acciones SEC no aplicable (varias clases de accion o sin dato no dimensional),2026-09-24
CAT,Caterpillar Inc.,US,Industrial,cap_usd_mm=370153,Ranking: companiesmarketcap.com EUA #31 (CSV descargado 2026-09-25); cap. y sector: Yahoo Finance quote API; acciones SEC portada 10-Q/10-K CIK 18230 al 2026-06-30: dif +0.0% vs Yahoo,2026-09-24
GE,GE Aerospace,US,Industrial,cap_usd_mm=331792,Ranking: companiesmarketcap.com EUA #36 (CSV descargado 2026-09-25); cap. y sector: Yahoo Finance quote API; acciones SEC portada 10-Q/10-K CIK 40545 al 2026-06-30: dif +0.0% vs Yahoo,2026-09-24
GEV,GE Vernova Inc.,US,Industrial,cap_usd_mm=254359,Ranking: companiesmarketcap.com EUA #46 (CSV descargado 2026-09-25); cap. y sector: Yahoo Finance quote API; acciones SEC portada 10-Q/10-K CIK 1996810 al 2026-06-30: dif -0.0% vs Yahoo,2026-09-24
RTX,RTX Corporation,US,Industrial,cap_usd_mm=254201,Ranking: companiesmarketcap.com EUA #47 (CSV descargado 2026-09-25); cap. y sector: Yahoo Finance quote API; acciones SEC portada 10-Q/10-K CIK 101829 al 2026-06-30: dif +0.0% vs Yahoo,2026-09-24
LLY,Eli Lilly and Company,US,Salud,cap_usd_mm=1053940,Ranking: companiesmarketcap.com EUA #12 (CSV descargado 2026-09-25); cap. y sector: Yahoo Finance quote API; acciones SEC portada 10-Q/10-K CIK 59478 al 2026-08-03: dif +5.6% vs Yahoo (revisar),2026-09-24
JNJ,Johnson & Johnson,US,Salud,cap_usd_mm=652311,Ranking: companiesmarketcap.com EUA #19 (CSV descargado 2026-09-25); cap. y sector: Yahoo Finance quote API; acciones SEC portada 10-Q/10-K CIK 200406 al 2026-07-17: dif +0.0% vs Yahoo,2026-09-24
ABBV,AbbVie Inc.,US,Salud,cap_usd_mm=468498,Ranking: companiesmarketcap.com EUA #21 (CSV descargado 2026-09-25); cap. y sector: Yahoo Finance quote API; acciones SEC portada 10-Q/10-K CIK 1551152 al 2026-07-27: dif +0.0% vs Yahoo,2026-09-24
MRK,"Merck & Co., Inc.",US,Salud,cap_usd_mm=365092,Ranking: companiesmarketcap.com EUA #32 (CSV descargado 2026-09-25); cap. y sector: Yahoo Finance quote API; acciones SEC portada 10-Q/10-K CIK 310158 al 2026-07-31: dif +0.0% vs Yahoo,2026-09-24
UNH,UnitedHealth Group Incorporated,US,Salud,cap_usd_mm=336607,Ranking: companiesmarketcap.com EUA #35 (CSV descargado 2026-09-25); cap. y sector: Yahoo Finance quote API; acciones SEC portada 10-Q/10-K CIK 731766 al 2026-07-31: dif -0.0% vs Yahoo,2026-09-24
TMO,Thermo Fisher Scientific Inc.,US,Salud,cap_usd_mm=250833,Ranking: companiesmarketcap.com EUA #48 (CSV descargado 2026-09-25); cap. y sector: Yahoo Finance quote API; acciones SEC portada 10-Q/10-K CIK 97745 al 2026-06-27: dif -0.0% vs Yahoo,2026-09-24
GOOGL,Alphabet Inc.,US,Servicios de comunicación,cap_usd_mm=4187041,Ranking: companiesmarketcap.com EUA #3 (CSV descargado 2026-09-25); cap. y sector: Yahoo Finance quote API; CIK 1652044; cruce con acciones SEC no aplicable (varias clases de accion o sin dato no dimensional); clases GOOGL/GOOG contadas una vez,2026-09-24
META,"Meta Platforms, Inc.",US,Servicios de comunicación,cap_usd_mm=1980915,Ranking: companiesmarketcap.com EUA #6 (CSV descargado 2026-09-25); cap. y sector: Yahoo Finance quote API; CIK 1326801; cruce con acciones SEC no aplicable (varias clases de accion o sin dato no dimensional),2026-09-24
NFLX,"Netflix, Inc.",US,Servicios de comunicación,cap_usd_mm=298638,Ranking: companiesmarketcap.com EUA #39 (CSV descargado 2026-09-25); cap. y sector: Yahoo Finance quote API; acciones SEC portada 10-Q/10-K CIK 1065280 al 2026-06-30: dif -0.0% vs Yahoo,2026-09-24
BRK-B,Berkshire Hathaway Inc.,US,Servicios financieros,cap_usd_mm=1081444,Ranking: companiesmarketcap.com EUA #11 (CSV descargado 2026-09-25); cap. y sector: Yahoo Finance quote API; CIK 1067983; cruce con acciones SEC no aplicable (varias clases de accion o sin dato no dimensional); clases BRK-A/BRK-B contadas una vez,2026-09-24
JPM,JPMorgan Chase & Co.,US,Servicios financieros,cap_usd_mm=899956,Ranking: companiesmarketcap.com EUA #14 (CSV descargado 2026-09-25); cap. y sector: Yahoo Finance quote API; acciones SEC portada 10-Q/10-K CIK 19617 al 2026-06-30: dif -0.0% vs Yahoo,2026-09-24
V,Visa Inc.,US,Servicios financieros,cap_usd_mm=690829,Ranking: companiesmarketcap.com EUA #16 (CSV descargado 2026-09-25); cap. y sector: Yahoo Finance quote API; CIK 1403161; cruce con acciones SEC no aplicable (varias clases de accion o sin dato no dimensional),2026-09-24
MA,Mastercard Incorporated,US,Servicios financieros,cap_usd_mm=495892,Ranking: companiesmarketcap.com EUA #20 (CSV descargado 2026-09-25); cap. y sector: Yahoo Finance quote API; CIK 1141391; cruce con acciones SEC no aplicable (varias clases de accion o sin dato no dimensional),2026-09-24
BAC,Bank of America Corporation,US,Servicios financieros,cap_usd_mm=391804,Ranking: companiesmarketcap.com EUA #27 (CSV descargado 2026-09-25); cap. y sector: Yahoo Finance quote API; acciones SEC portada 10-Q/10-K CIK 70858 al 2026-07-30: dif -0.0% vs Yahoo,2026-09-24
MS,Morgan Stanley,US,Servicios financieros,cap_usd_mm=308334,Ranking: companiesmarketcap.com EUA #38 (CSV descargado 2026-09-25); cap. y sector: Yahoo Finance quote API; acciones SEC portada 10-Q/10-K CIK 895421 al 2026-07-31: dif -0.0% vs Yahoo,2026-09-24
GS,"The Goldman Sachs Group, Inc.",US,Servicios financieros,cap_usd_mm=268836,Ranking: companiesmarketcap.com EUA #42 (CSV descargado 2026-09-25); cap. y sector: Yahoo Finance quote API; acciones SEC portada 10-Q/10-K CIK 886982 al 2026-07-17: dif +0.0% vs Yahoo,2026-09-24
WFC,Wells Fargo & Company,US,Servicios financieros,cap_usd_mm=248512,Ranking: companiesmarketcap.com EUA #49 (CSV descargado 2026-09-25); cap. y sector: Yahoo Finance quote API; acciones SEC portada 10-Q/10-K CIK 72971 al 2026-07-17: dif +0.0% vs Yahoo,2026-09-24
NVDA,NVIDIA Corporation,US,Tecnología,cap_usd_mm=5422933,Ranking: companiesmarketcap.com EUA #1 (CSV descargado 2026-09-25); cap. y sector: Yahoo Finance quote API; acciones SEC portada 10-Q/10-K CIK 1045810 al 2026-08-21: dif -0.2% vs Yahoo,2026-09-24
AAPL,Apple Inc.,US,Tecnología,cap_usd_mm=4902477,Ranking: companiesmarketcap.com EUA #2 (CSV descargado 2026-09-25); cap. y sector: Yahoo Finance quote API; acciones SEC portada 10-Q/10-K CIK 320193 al 2026-07-17: dif -0.0% vs Yahoo,2026-09-24
MSFT,Microsoft Corporation,US,Tecnología,cap_usd_mm=3697402,Ranking: companiesmarketcap.com EUA #4 (CSV descargado 2026-09-25); cap. y sector: Yahoo Finance quote API; acciones SEC portada 10-Q/10-K CIK 789019 al 2026-07-23: dif -0.0% vs Yahoo,2026-09-24
AVGO,Broadcom Inc.,US,Tecnología,cap_usd_mm=1672489,Ranking: companiesmarketcap.com EUA #8 (CSV descargado 2026-09-25); cap. y sector: Yahoo Finance quote API; acciones SEC portada 10-Q/10-K CIK 1730168 al 2026-08-28: dif +0.0% vs Yahoo,2026-09-24
MU,"Micron Technology, Inc.",US,Tecnología,cap_usd_mm=1220343,Ranking: companiesmarketcap.com EUA #10 (CSV descargado 2026-09-25); cap. y sector: Yahoo Finance quote API; acciones SEC portada 10-Q/10-K CIK 723125 al 2026-06-17: dif -0.0% vs Yahoo,2026-09-24
AMD,"Advanced Micro Devices, Inc.",US,Tecnología,cap_usd_mm=1027251,Ranking: companiesmarketcap.com EUA #13 (CSV descargado 2026-09-25); cap. y sector: Yahoo Finance quote API; acciones SEC portada 10-Q/10-K CIK 2488 al 2026-07-29: dif +0.0% vs Yahoo,2026-09-24
INTC,Intel Corporation,US,Tecnología,cap_usd_mm=673397,Ranking: companiesmarketcap.com EUA #17 (CSV descargado 2026-09-25); cap. y sector: Yahoo Finance quote API; acciones SEC portada 10-Q/10-K CIK 50863 al 2026-07-17: dif -4.6% vs Yahoo (revisar),2026-09-24
PLTR,Palantir Technologies Inc.,US,Tecnología,cap_usd_mm=462805,Ranking: companiesmarketcap.com EUA #22 (CSV descargado 2026-09-25); cap. y sector: Yahoo Finance quote API; CIK 1321655; cruce con acciones SEC no aplicable (varias clases de accion o sin dato no dimensional),2026-09-24
ORCL,Oracle Corporation,US,Tecnología,cap_usd_mm=421932,Ranking: companiesmarketcap.com EUA #23 (CSV descargado 2026-09-25); cap. y sector: Yahoo Finance quote API; acciones SEC portada 10-Q/10-K CIK 1341439 al 2026-09-07: dif +0.0% vs Yahoo,2026-09-24
CSCO,"Cisco Systems, Inc.",US,Tecnología,cap_usd_mm=421739,Ranking: companiesmarketcap.com EUA #24 (CSV descargado 2026-09-25); cap. y sector: Yahoo Finance quote API; acciones SEC portada 10-Q/10-K CIK 858877 al 2026-08-27: dif +0.0% vs Yahoo,2026-09-24
LRCX,Lam Research Corporation,US,Tecnología,cap_usd_mm=384356,Ranking: companiesmarketcap.com EUA #28 (CSV descargado 2026-09-25); cap. y sector: Yahoo Finance quote API; acciones SEC portada 10-Q/10-K CIK 707549 al 2026-08-04: dif -0.0% vs Yahoo,2026-09-24
AMAT,"Applied Materials, Inc.",US,Tecnología,cap_usd_mm=376364,Ranking: companiesmarketcap.com EUA #30 (CSV descargado 2026-09-25); cap. y sector: Yahoo Finance quote API; acciones SEC portada 10-Q/10-K CIK 6951 al 2026-07-26: dif +0.0% vs Yahoo,2026-09-24
DELL,Dell Technologies Inc.,US,Tecnología,cap_usd_mm=340808,Ranking: companiesmarketcap.com EUA #33 (CSV descargado 2026-09-25); cap. y sector: Yahoo Finance quote API; CIK 1571996; cruce con acciones SEC no aplicable (varias clases de accion o sin dato no dimensional),2026-09-24
PANW,"Palo Alto Networks, Inc.",US,Tecnología,cap_usd_mm=318955,Ranking: companiesmarketcap.com EUA #37 (CSV descargado 2026-09-25); cap. y sector: Yahoo Finance quote API; acciones SEC portada 10-Q/10-K CIK 1327567 al 2026-08-31: dif -0.0% vs Yahoo,2026-09-24
CRWD,"CrowdStrike Holdings, Inc.",US,Tecnología,cap_usd_mm=265885,Ranking: companiesmarketcap.com EUA #43 (CSV descargado 2026-09-25); cap. y sector: Yahoo Finance quote API; acciones SEC portada 10-Q/10-K CIK 1535527 al 2026-08-20: dif -0.0% vs Yahoo,2026-09-24
ANET,"Arista Networks, Inc.",US,Tecnología,cap_usd_mm=259434,Ranking: companiesmarketcap.com EUA #44 (CSV descargado 2026-09-25); cap. y sector: Yahoo Finance quote API; acciones SEC portada 10-Q/10-K CIK 1596532 al 2026-07-30: dif -0.0% vs Yahoo,2026-09-24
SNDK,Sandisk Corporation,US,Tecnología,cap_usd_mm=256763,Ranking: companiesmarketcap.com EUA #45 (CSV descargado 2026-09-25); cap. y sector: Yahoo Finance quote API; acciones SEC portada 10-Q/10-K CIK 2023554 al 2026-08-07: dif -0.0% vs Yahoo,2026-09-24
TXN,Texas Instruments Incorporated,US,Tecnología,cap_usd_mm=247170,Ranking: companiesmarketcap.com EUA #50 (CSV descargado 2026-09-25); cap. y sector: Yahoo Finance quote API; acciones SEC portada 10-Q/10-K CIK 97476 al 2026-07-15: dif +0.0% vs Yahoo,2026-09-24
